MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
154,0,1.539,0.212,27.221,1.834,1.355,-0.104,4.39,6.61,1.4,1.037,1.0692,555.832,0.919,6.891,3.448,5.543,1.529,1.138,0.041,0.741,1.119,0.08,0.785,10.893,5.45,0.565,1.88
155,0,1.503,0.148,30.739,1.759,1.402,-0.151,4.39,6.61,1.436,1.044,0.8023,948.59,0.518,7.101,3.275,4.428,1.552,1.11,0.032,0.932,1.053,0.047,0.814,12.321,5.45,0.562,1.88
156,0,1.565,0.143,28.595,1.869,1.526,-0.183,4.39,6.61,1.401,1.047,0.8295,916.053,1.204,7.069,3.437,4.42,1.529,1.163,0.033,0.941,1.054,0.098,0.82,11.326,5.45,0.543,1.88
157,0,1.573,0.202,28.447,1.817,1.391,-0.191,4.39,6.61,1.426,1.006,0.8835,766.831,1.002,7.024,3.453,4.882,1.484,1.11,0.036,0.856,1.027,0.074,0.796,14.25,5.45,0.561,1.88
158,0,1.586,0.675,29.253,1.897,1.535,-0.191,4.39,6.61,1.352,1.077,0.7868,1209.073,1.839,7.124,4.384,4.405,1.527,1.174,0.03,0.722,1.096,0.106,0.827,11.125,5.451,0.517,1.88
159,0,1.571,0.152,28.766,1.866,1.452,-0.189,4.39,6.61,1.413,1.019,0.8702,776.557,1.204,7.02,3.362,4.479,1.529,1.114,0.036,0.669,1.05,0.083,0.81,11.165,5.45,0.547,1.88
160,0,1.566,0.64,32.451,1.822,1.504,-0.22,4.39,6.61,1.353,1.011,0.6402,1880.259,1.873,7.303,4.172,4.533,1.483,1.144,0.024,0.699,0.977,0.071,0.817,15.554,5.45,0.52,1.88
161,0,1.503,0.148,31.196,1.736,1.39,-0.151,4.39,6.61,1.429,1.044,0.8369,904.434,0.518,7.101,3.326,7.061,1.562,1.11,0.032,0.932,1.053,0.044,0.814,12.321,5.45,0.562,1.88
162,0,1.559,0.178,29.75,1.744,1.387,-0.205,4.39,6.61,1.427,1.04,0.8512,888.532,0.64,7.096,3.493,7.029,1.562,1.11,0.032,0.872,1.015,0.054,0.811,14.786,5.45,0.561,1.88
163,0,1.582,0.107,26.701,1.83,1.39,-0.172,4.39,6.61,1.424,1.076,1.0672,515.182,0.776,6.881,3.381,4.554,1.532,1.132,0.042,0.762,1.097,0.069,0.818,10.496,5.45,0.564,1.88
164,0,1.643,0.14,25.256,1.838,1.387,-0.231,4.39,6.61,1.421,1.073,1.0911,504.175,0.871,6.874,3.547,4.683,1.489,1.132,0.043,0.771,1.055,0.079,0.814,12.927,5.45,0.563,1.88
165,0,1.648,0.296,24.581,2.059,1.226,-0.208,4.39,6.61,1.385,1.117,1.1035,496.173,1.342,6.843,3.678,4.513,1.531,1.152,0.044,0.894,1.122,0.16,0.826,9.639,5.45,0.539,1.88
166,0,1.711,0.406,23.149,2.066,1.219,-0.27,4.39,6.61,1.382,1.114,1.1291,485.123,1.397,6.835,3.845,4.636,1.486,1.152,0.044,0.896,1.077,0.176,0.822,12.02,5.45,0.538,1.88
167,0,1.711,0.406,23.149,2.066,1.219,-0.27,4.39,6.61,1.382,1.114,1.1291,485.123,1.397,6.835,3.845,4.636,1.486,1.152,0.044,0.896,1.077,0.176,0.822,12.02,5.45,0.538,1.88
168,0,1.601,0.279,26.173,1.861,1.337,-0.162,4.39,6.61,1.387,1.037,1.1106,576.738,1.168,6.916,3.838,5.931,1.496,1.138,0.04,0.722,1.071,0.099,0.78,13.562,5.45,0.557,1.88
169,0,1.503,0.13,31.131,1.773,1.385,-0.149,4.39,6.61,1.426,1.045,0.8199,985.082,0.776,7.127,3.498,4.54,1.552,1.108,0.031,0.76,1.046,0.059,0.811,12.574,5.45,0.557,1.88
