MOFID,targets,Vatomic,EE_B_p,GATS4e,GATS1m,MATS4p,SpMin1_Bh_s,ATSC2e,SpMax2_Bh_m,GATS3p,Mp,EM,GATS2e,GATS2p,SpMAD_B_p,ratomic,GATS5e,GATS1p,SM1_Dz_e,ATSC1e,ATSC1p,P,m,Eta_sh_x,ATSC6p
100,0.470614,9.83,8.535,1.616,0.915,0.034,1.561,1.176,4.912,1.984,0.85,5.31,1.065,1.286,1.789,1.53,1.314,1.708,-0.35,1.065,21.148,1.63,50.94,0.054,71.674
101,0.443814,9.83,8.535,1.616,0.915,0.034,1.561,1.176,4.912,1.984,0.85,5.31,1.065,1.286,1.789,1.53,1.314,1.708,-0.35,1.065,21.148,1.63,50.94,0.054,71.674
102,0.207014,9.83,8.534,1.409,0.949,0.048,1.612,0.745,4.912,2.084,0.862,5.31,1.073,1.311,1.789,1.53,1.305,1.683,0.702,0.659,16.467,1.63,50.94,0.055,51.716
103,0.236114,9.83,8.534,1.409,0.949,0.048,1.612,0.745,4.912,2.084,0.862,5.31,1.073,1.311,1.789,1.53,1.305,1.683,0.702,0.659,16.467,1.63,50.94,0.055,51.716
104,0.389614,9.83,8.528,1.601,0.909,0.053,1.561,1.09,4.912,2.086,0.859,5.31,1.047,1.31,1.791,1.53,1.37,1.723,0.805,1.014,20.695,1.63,50.94,0.056,52.81
105,0.412214,9.83,8.528,1.601,0.909,0.053,1.561,1.09,4.912,2.086,0.859,5.31,1.047,1.31,1.791,1.53,1.37,1.723,0.805,1.014,20.695,1.63,50.94,0.056,52.81
106,0.343314,9.83,8.52,1.393,0.953,0.031,1.612,0.913,4.912,1.957,0.846,5.31,1.068,1.231,1.725,1.53,1.221,1.66,-0.492,0.766,16.709,1.63,50.94,0.058,77.18
107,0.289014,9.83,8.52,1.393,0.953,0.031,1.612,0.913,4.912,1.957,0.846,5.31,1.068,1.231,1.725,1.53,1.221,1.66,-0.492,0.766,16.709,1.63,50.94,0.058,77.18
108,0.479014,9.83,8.513,1.562,0.915,0.036,1.561,1.198,4.912,1.959,0.843,5.31,1.018,1.23,1.727,1.53,1.255,1.699,-0.35,1.069,20.975,1.63,50.94,0.058,78.128
109,0.480814,9.83,8.513,1.562,0.915,0.036,1.561,1.198,4.912,1.959,0.843,5.31,1.018,1.23,1.727,1.53,1.255,1.699,-0.35,1.069,20.975,1.63,50.94,0.058,78.128
110,0.291214,9.83,8.529,1.349,0.962,0.037,1.612,0.763,4.913,2.006,0.85,5.31,1.053,1.268,1.774,1.53,1.312,1.656,0.175,0.741,16.664,1.63,50.94,0.059,63.876
111,0.482614,9.83,8.522,1.521,0.923,0.041,1.561,1.016,4.913,2.008,0.847,5.31,1.019,1.267,1.777,1.53,1.348,1.696,0.343,1.047,20.895,1.63,50.94,0.059,64.894
112,0.391214,9.83,8.522,1.521,0.923,0.041,1.561,1.016,4.913,2.008,0.847,5.31,1.019,1.267,1.777,1.53,1.348,1.696,0.343,1.047,20.895,1.63,50.94,0.059,64.894
113,0.140714,9.83,8.532,1.22,0.942,0.029,1.612,0.735,4.912,2.011,0.872,5.31,0.838,1.265,1.778,1.53,1.201,1.667,0.612,0.653,16.46,1.63,50.94,0.055,59.862
114,0.460614,9.83,8.525,1.365,0.903,0.034,1.561,1.073,4.912,2.013,0.87,5.31,0.837,1.264,1.78,1.53,1.243,1.707,0.723,1.004,20.689,1.63,50.94,0.055,60.872
115,0.374214,9.83,8.525,1.365,0.903,0.034,1.561,1.073,4.912,2.013,0.87,5.31,0.837,1.264,1.78,1.53,1.243,1.707,0.723,1.004,20.689,1.63,50.94,0.055,60.872
116,0.123114,9.83,8.544,1.187,0.976,0.053,1.61,1.817,4.914,2.13,0.862,5.31,0.869,1.333,1.766,1.53,1.028,1.704,1.605,1.046,16.45,1.63,50.94,0.051,49.978
117,0.255714,9.83,8.537,1.329,0.934,0.059,1.558,2.15,4.914,2.132,0.859,5.31,0.876,1.332,1.768,1.53,1.03,1.744,1.648,1.452,20.678,1.63,50.94,0.051,51.05
118,0.248914,9.83,8.537,1.329,0.934,0.059,1.558,2.15,4.914,2.132,0.859,5.31,0.876,1.332,1.768,1.53,1.03,1.744,1.648,1.452,20.678,1.63,50.94,0.051,51.05
