MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L4-O-ScSc-CHO,0,3.0,5.919,71.828,0.094,348.95,3.795,98.672,10275.51744,6.277,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,0.919,1.606,41.183,4.052,5.934
L4-O-TiTi-C,1,2.61175,5.74,62.322,0.098,338.683,3.795,92.3,10022.58349,6.109,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,0.944,1.58,35.744,4.054,5.698
L4-O-TiTi-CHO,0,1.03383333,5.855,62.106,0.094,348.95,3.795,98.672,10275.51744,6.143,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,0.949,1.583,36.19,4.054,5.934
L4-O-VV-C,1,3.0,5.702,55.428,0.098,338.683,3.795,92.3,10022.58349,6.02,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,0.973,1.558,32.586,4.056,5.698
L4-O-VV-CHO,1,2.59783333,5.809,55.321,0.094,348.95,3.795,98.672,10275.51744,6.057,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,0.978,1.561,33.032,4.056,5.934
L4-O-ZnZn-C,1,3.0,5.604,38.494,0.098,338.683,3.795,92.3,10022.58349,5.843,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.086,1.44,24.311,4.061,5.698
L5-N-CoCo-C,1,3.0,5.811,43.555,0.092,459.554,3.949,99.457,5258.282326,6.02,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.031,6.099,1.044,1.552,31.097,4.258,5.864
L5-N-CoCo-CHO,1,3.0,5.883,43.755,0.088,469.821,3.949,105.828,5486.345405,6.057,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.031,6.099,1.045,1.552,31.543,4.258,6.101
L5-N-CrCr-C,1,3.0,5.865,55.728,0.092,459.554,3.941,99.457,5258.282326,6.136,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.028,6.099,0.991,1.588,35.398,4.257,5.864
L5-N-CrCr-CHO,1,3.0,5.954,55.779,0.088,469.821,3.941,105.828,5486.345405,6.169,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.028,6.099,0.992,1.59,35.844,4.257,6.101
